2025-11-09 22:37:44.927 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:37:44.928 | INFO     | core.camera_manager:stop_camera:127 - 摄像头 0 已停止
2025-11-09 22:45:47.019 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:45:47.027 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:49:34.779 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:49:34.781 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:49:34.802 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:49:34.990 | INFO     | core.face_detection:load_known_faces:98 - 已加载人脸: cjj
2025-11-09 22:49:34.991 | INFO     | core.face_detection:load_known_faces:103 - 共加载 1 张已知人脸
2025-11-09 22:49:34.999 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:49:35.015 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:49:35.015 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:49:35.079 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:49:35.079 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:49:35.158 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:49:40.264 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:49:40.265 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:49:40.284 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:55:08.769 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:55:08.771 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:55:08.791 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:55:08.982 | INFO     | core.face_detection:load_known_faces:98 - 已加载人脸: cjj
2025-11-09 22:55:08.982 | INFO     | core.face_detection:load_known_faces:103 - 共加载 1 张已知人脸
2025-11-09 22:55:08.994 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:55:08.995 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:55:08.996 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:55:09.063 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:55:09.063 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:55:09.125 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
